Region,Council,Swim site,Date,Time,Enterococci (cfu/100mL),Water temperature (°C),Conductivity (µS/cm),Latitude,Longitude
Sydney City,Randwick City Council,Malabar Beach,17/4/2012,08:24:00,630,20,43100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,23/4/2012,09:20:00,29,20,49900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,29/4/2012,07:28:00,31,19,50300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,4/5/2012,08:57:00,29,19,50000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,11/5/2012,09:39:00,31,19,50100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,17/5/2012,08:01:00,12,18,50900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,23/5/2012,09:17:00,4,18,50900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,30/5/2012,09:52:00,6,18,53500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,4/6/2012,10:20:00,38,18,53100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,8/6/2012,10:22:00,20,17,53900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,15/6/2012,10:34:00,18,17,52000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,21/6/2012,09:28:00,12,16,53200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,27/6/2012,10:40:00,26,17,52900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,3/7/2012,09:01:00,13,15,53500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,10/7/2012,10:20:00,17,17,53400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,15/7/2012,07:53:00,11,14,53000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,21/7/2012,07:20:00,29,17,53300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,27/7/2012,10:18:00,2,17,53300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,2/8/2012,10:25:00,6,17,54200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,8/8/2012,09:27:00,110,15,54400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,14/8/2012,09:25:00,1,16,54300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,21/8/2012,09:01:00,3,15,54400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,26/8/2012,06:38:00,14,,,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,1/9/2012,06:47:00,3,,,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,7/9/2012,08:45:00,11,16,54300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,13/9/2012,08:53:00,28,17,54300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,19/9/2012,08:50:00,8,17,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,27/9/2012,08:50:00,22,18,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,8/10/2012,08:14:00,16,16,54100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,18/10/2012,08:29:00,25,18,54100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,26/10/2012,08:30:00,18,17,54100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,1/11/2012,07:50:00,18,19,53800,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,7/11/2012,07:39:00,11,19,53300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,13/11/2012,08:34:00,660,18,53900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,19/11/2012,08:57:00,9,19,53900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,25/11/2012,09:34:00,25,21,53400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,13/12/2012,08:28:00,18,21,53800,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,19/12/2012,08:44:00,2,21,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,24/12/2012,09:15:00,28,,,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,2/1/2013,08:50:00,2,20,53400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,6/1/2013,08:00:00,4,21,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,12/1/2013,10:07:00,390,21,53900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,18/1/2013,10:31:00,15,24,53500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,24/1/2013,08:07:00,110,21,53900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,30/1/2013,08:38:00,13,20,53900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,5/2/2013,09:52:00,13,22,52900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,11/2/2013,08:35:00,140,20,53400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,17/2/2013,10:21:00,23,23,52500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,23/2/2013,08:17:00,390,23,53400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,1/3/2013,09:10:00,24,20,52600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,7/3/2013,08:05:00,6,22,51700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,13/3/2013,10:19:00,9,24,52700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,19/3/2013,07:55:00,4,21,53500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,25/3/2013,08:27:00,28,22,53500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,2/4/2013,08:27:00,12,23,53300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,6/4/2013,10:01:00,52,22,,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,12/4/2013,09:39:00,8,22,53000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,18/4/2013,08:23:00,3,21,53500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,24/4/2013,08:43:00,6,19,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,1/5/2013,10:14:00,32,21,53500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,7/5/2013,10:26:00,5,20,53800,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,14/5/2013,08:41:00,40,17,53800,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,20/5/2013,08:22:00,5,18,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,25/5/2013,06:50:00,50,20,53700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,31/5/2013,09:32:00,4,18,53700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,6/6/2013,09:55:00,3,18,53900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,12/6/2013,10:21:00,9,17,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,17/6/2013,09:05:00,40,17,53700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,24/6/2013,09:14:00,20,16,53200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,30/6/2013,07:43:00,2500,15,42800,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,6/7/2013,12:10:00,0,17,52900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,12/7/2013,10:15:00,2,15,53200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,18/7/2013,12:08:00,9,19,,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,24/7/2013,11:47:00,170,16,54100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,30/7/2013,09:10:00,11,16,53300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,8/8/2013,07:43:00,54,15,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,14/8/2013,10:20:00,5,16,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,16/8/2013,10:13:00,1,15,54200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,22/8/2013,09:32:00,1,15,54300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,29/8/2013,10:32:00,2,18,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,2/9/2013,09:32:00,1,18,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,10/9/2013,08:09:00,10,18,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,16/9/2013,09:50:00,6,17,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,22/9/2013,07:27:00,1,15,54400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,28/9/2013,06:45:00,5,17,53400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,4/10/2013,08:48:00,6,17,54200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,12/10/2013,08:10:00,4,19,54100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,20/10/2013,07:37:00,10,19,53800,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,28/10/2013,09:01:00,50,19,53500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,5/11/2013,07:30:00,26,18,54200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,13/11/2013,08:15:00,7,19,53800,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,21/11/2013,07:20:00,5,20,53500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,29/11/2013,07:40:00,4,19,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,7/12/2013,07:56:00,9,20,54100,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,13/12/2013,08:15:00,13,22,53700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,23/12/2013,07:39:00,10,21,53200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,31/12/2013,08:14:00,1500,21,53700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,8/1/2014,08:37:00,3,19,53900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,16/1/2014,08:15:00,17,21,53400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,24/1/2014,07:50:00,4,21,53800,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,1/2/2014,08:33:00,35,21,53400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,9/2/2014,09:12:00,2,20,53900,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,17/2/2014,08:38:00,140,20,53200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,25/2/2014,10:31:00,6,23,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,5/3/2014,08:05:00,66,21,53800,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,13/3/2014,08:40:00,58,21,52600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,21/3/2014,09:11:00,4,22,53700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,29/3/2014,08:20:00,170,21,53300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,6/4/2014,09:13:00,45,21,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,14/4/2014,08:38:00,11,22,54200,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,22/4/2014,08:00:00,16,19,53500,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,30/4/2014,09:26:00,180,21,53400,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,6/5/2014,10:00:00,7,19,53700,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,12/5/2014,10:55:00,60,22,53600,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,16/5/2014,10:07:00,32,20,54300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,22/5/2014,08:22:00,38,18,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,28/5/2014,09:45:00,50,19,54000,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,3/6/2014,10:36:00,12,19,54300,-33.96436,151.252247
Sydney City,Randwick City Council,Malabar Beach,10/6/2014,08:25:00,4,18,54100,-33.96436,151.252247
